KPI,KPIID,KPIScore
[SFI-ID2.3.14] Encrypt Tokens with automatic key rotation,51423358-fbc6-4222-a36e-165f6273a769,60
[SFI-ID4.5.1] Eliminate Certs from Unapproved Cert Authority,3d1ad633-bbb6-41ca-93a6-194233fe9f6d,60
[SFI-ES3.3.1] Exposed Secrets,583d65f8-d054-4a08-936a-ef4ff8db470c,60
"[SFI-PS1.1] Security Repair Items, Feature Gaps & Asks - slr-pir - Important",c55814ac-f52b-4259-9ea9-656bde21ac5b_slr-pir_Important,53
[SFI-ES4.3.1] Adopt Governed Release Pipeline Templates,decc729f-382c-4c97-9f15-ef126a941830,50
[SFI-TI3.8.1] Securing 1P app accessing Substrate Data,59125736-fe92-4c9e-8b19-434360343eef,50
[SFI-TI3.3.2] Remove over-privileged assignments on critical roles (1.05),fd48236a-d8b1-477e-95d8-f102d370526d,50
[SFI-SM2.1.2] Turn on Microsoft Defender for Server Plan (Defender for Cloud) (1.05),3a950594-c30b-4839-9dcc-a8bcb4165045,50
[SFI-ES2.6] Secure Azure DevOps 1P organizations by enforcing safe configurations,d5315628-dfee-4184-8bf9-dbd074e17007,50
[QEI-CM2.1] [SFI-ES4.3.2] Safe Deployment Practices,c43f87d9-2ee3-46a1-ac25-c910836d092f,50
[SFI-SM2.1.5] AzSecPack Auto Config,56ba9f74-99c1-43bb-931c-cb8d78775e5a,50
[SFI-NS2.5.3] Application DDOS Standard,bcd47415-439c-4532-b9ac-d98a6c98cb81,50
[SFI-ID 6.1.1] USGov/Public Entra ID key separation Stage 1: prepare apps to remove explicit trust between USGov and Public EntraID keys,768b7257-3e3e-403a-8470-b61b13bc1fad,50
[SFI-ID2.4.1] MSI Resource Provider Security Readiness,6937796a-ae08-49c6-a261-abea67780782,50
[SFI-SM2.3.2] Security telemetry instrumentation R9,7bce143a-fedf-4058-8324-999da5b421e2,50
[SFI-TI4.1.4] Package and Binary Signing for Geneva Actions Extensions,4c879810-d9a0-4d57-8d36-5484603864e2,50
[SFI-AR1.2.5] Enable VMSS Auto Extension Upgrade,ed3bd145-a922-494e-8182-1ab95b44d889,50
[SFI-ID6.2.1] dSTS Dialtone Key Split,71d9fe6d-2981-4341-9619-2bb49a20b576,50
[SFI-TI1.3.1] Evacuating and Deprecating the Partners Extranet Environment,2fac29a0-9c10-4a7d-80b8-6d2adb3a4afe,50
[SFI-TI5.2.2] Interactive Touch Reduction - Least Privileged Access,46f4b47d-a611-47e0-a6c7-cccff8027ae9,50
[SFI-TI1.4.1] RDFE Compute Exposure,780e4fad-2e73-4fa7-93e5-69f1a70831e7,50
[SFI-ES4.6.1] Ensure all build machines have clean state [CloudBuild],86609bfe-f249-4872-87a8-83e290636a7f,50
[SFI-TI1.4.2] RDFE Classic Storage Account Migration,e47eb400-1225-4302-8cf6-025a464ecb7f,50
[SFI-AR1.2.3] AKS Node Auto-Upgrade Compliance,76437c64-760a-40b5-ab21-0d862ffaa185,50
[SFI-TI1.4.3] RDFE Classic Networking Retirement,b830a6a4-405d-4a32-a53d-ee82bcade95d,50
[SFI-TI3.3.3] Unused Permissions in Service role,21bc28be-02b1-4e65-86b8-09b40b79ac2a,50
[SFI-TI1.4.4] RDFE App Service Environment v1/v2 Retirement,2239a178-f6dd-494b-9445-2c3093d956a0,50
[SFI-TI3.4] Entra ID App Registrations must map to a valid service within Service Tree,266046b8-5e35-41f1-92f4-35e34bbe0382,50
[SFI-TI1.4.5] RDFE API Management stv1 Retirement,13923581-8727-4f93-b006-bd19853cf9f8,50
[SFI-ES5.3.1]Migrate non-dialtone scenarios off reddog,d8dab3c3-7bd3-4ef1-bca9-471009bcb22a,50
[SFI-AR1.2.6] Standardize Single VMs on VMSS Flex with Auto OS Upgrades enabled,1b069ce3-7225-4008-89fc-a717d4e3e828,50
[SFI-ID4.7.1] Rotation of High Value Secrets,59d29b74-d117-4bfe-a9eb-2b37fbcf5654,50
[SFI-ID2.1.7] Migrate to MISE/SNI,cdcfadfa-e467-48f0-bfbd-916c63b73e55,50
[SFI-ID6.1.2] USGov/Public Entra ID key separation Stage 1: Remove implicit cross cloud authentication flow for clients unaware of USGov cloud presence.,f1f33184-5a4e-4564-8442-ffc6d45f14da,50
[SFI-NS1.13.2] Express EAP backend connectivity requirements,26db6660-dc1b-46de-8323-d450a21aff11,50
[SFI-TI4.2.13] Migrate CSES to VMSS or AKS or SFMC,e74a1251-7ccc-4832-aa11-8737eb8ef258,50
[SFI-ID2.3.17] Remove risky “all-user” access lacking user context,1f80d1c4-6c13-4783-a619-bad5e105d334,50
[SFI-NS2.1.1] E&D Network Service Tags,3dc54071-9121-45bf-b22a-034b368ad981,50
[SFI-ES4.2.1] Build Network Isolation and Integrity,e561faed-4bcb-44a7-ad51-fe52ae4bacca,50
[SFI-TI2.3.4] Fix/Update RP API Defaults,07de7c5a-ed3c-483c-be73-1de656971caf,50
[SFI-NS2.1.1] E&D Tenant Policy,200940f0-ff84-46d2-b42d-2dcae71b643d,50
[SFI-TI2.3] Universal Security Baseline (1.05),8e25add8-08be-448c-bc98-caeb3a4ba3e2,50
[SFI-TI5.2.3] CIS Shared Secrets KPI,ac5333e7-4058-4b27-9404-9091ccaa0c5d,50
[SFI-TI3.1.1] Soft Delete unused apps,1055ac30-4cbe-41a3-a3be-64309d395ac7,50
[SFI-ES4.4.1] Deprecation of BuildTracker,f1c696e7-713b-486b-a58f-50b5e5e0294f,50
[SFI-ID4.2.6] Adopt Safe Secrets Standard for Substrate (Virtual Accounts),5f9f77be-ea4d-4bdb-b38c-4fa1dc96ae82,50
[SFI-ES5.1] Azure Artifacts - Central Feed Services (CFS),1a423da8-b18d-4fd5-b881-9d7a40860434,50
[SFI-TI3.1.9] Enterprise App Governance Remediation,3456f1c0-d907-45c5-b063-5c00867fd697,50
[SFI-ID2.3.5] Mitigate high privilege ARM S2S permissions,ab709185-312d-4661-82be-33ac06caf506,50
[SFI-TI3.3.1] Remove unused high privilege MS Graph Directory permissions by 1P apps,4f83d571-7a78-44ea-8fcb-c928128e6f63,50
[SFI-TI3.3.2] Address over privileged Azure RBAC role assignments to service principals,95e5a0ba-701a-4696-83bd-4c8bf85c1b22,50
[SFI-AR1.2.1] Enable VMSS Auto Image Patching,e1642522-4275-4ed7-b196-ff28bee5d48a,50
[SFI-TI5.1.2] Governance for App Registrations and SPNs for Corp (1.05),1790d828-2ead-490e-9aa5-d7b0520b3275,20
"[SFI-NS3.2.1] NAT Gateway Requirement for Customers Using ACI Directly or Using ACI Indirectly via Ev2, Deployment Scripts, or Other Services with VNETs or AME Tenant Access",3766d6de-606c-4e50-8002-5b17f77983ef,20
Service Tree Hygiene (DHE),8c90c7b1-2148-452e-aa02-45bbd399455e,20
[SFI-ES5.3.2]Migrate dialtone build artifact scenarios off reddog,a7f0aa5c-d9aa-4798-9d5d-a1ef371df731,20
[SFI-TI1.1.1] Satellite Tenant Governance,187b1964-cb84-4374-8e37-5dba845a4fb9,20
[SFI-ES2.1.1] 1ES PAT Token Lifetime Reduction,18eb088b-e36d-47ab-94fb-125069347951,20
[SFI-TI4.1.3] Service Tree Secure Edit Policy,4d83f7f1-4c23-44ae-9e0e-36dafabbd20c,20
[SFI-NS3.2.4] Bring Your Own IP address for Container Apps outbound traffic,c2c4430d-7d8b-4e7b-af24-6ac8d4731b44,20
[SFI-ES5.3.1]Migrate non-dialtone scenarios off reddog to CloudVault or Pipeline Artifacts,a0a14a74-162d-4609-95f3-154892221670,20
[SFI-ES2.1.2] Remove permanently associated Managed Identities in Hosted Pools,59bafaba-b7d1-43ec-a48b-86c0a0785ea3,20
[SFI-ES1.6.1] Onboarding multi-service repos to Inventory as Code,91505808-48af-423e-8fe3-66fb9fcf0c64,20
[SFI-TI4.9.1] Trusted Launch for Elastic Autopilot,d7714262-7464-4eb4-ad4d-2136e6473fac,20
[SFI-PS4.2.1] Enable WDAC (aka Code Integrity) across OPG Services,ed116e8d-2e99-476c-95d8-91690d2102b4,0
M365 Repo Compliance,a0002483-089a-4e71-b935-bc769255d0fc,0
[SFI-PS4.7] SG HPE Reduction,e00f7820-e289-444a-98d7-ed2022d4cb9a,0
[SFI-PS4.2.2]  Encryption of Customer Content At Rest (OPG),8a1989d5-bc1d-4cbd-885f-98b15729bd27,0
[SFI-ID4.2.7] Redis Cache - Safe Secrets Standard,858dc9be-7274-41df-a30a-c0ee8affcbf0,0
[SFI-ID4.5.3] Eliminate Global Certificates Pilot,9e27454f-f3bf-449c-a357-dcb7ae95b3ad,0
[SFI-PS3.2] CodeQL SDL-Required Findings [E+D],e44ba9c7-8eee-48e1-9555-ab0961316643,0
[SFI-ES2.4.12] Removing Large Group Access from E+D ADO Repos,6038780b-5209-4943-84b6-16de051ff8d9,0
[SFI-PS4.8] M365 CodeQL Adoption,8c14b98e-4c36-4809-9acd-556b6089a938,0
[SFI-SM4.1.3] AzSecPack AntiMalware Enablement,6716fc9a-76a7-4fd2-a11f-27056dc0ea74,0
[SFI-PS4.9] E+D Content Security Policy Violation,ecf3d9dc-f970-4c6d-8688-dd92c2339309,0
[SFI-PS4.2.3] Strong CSP Adoption (OPG),bdcd5e7f-4c97-4689-ab43-5c6aeaa0c2b6,0
[SFI-PS4.1] E+D Product Pillar Remediation,215f05f0-9ddd-45b9-aa2c-444a0bd58e14,0
[SFI-PS4.3] Secure Default -  Restricted Mode,43a7a5f9-3cf8-4d70-af37-3a626d0151e7,0
[SFI-TI4.3.3] MultiTenant Apps missing org restriction configuration,02b5c9d3-57d1-4735-96e7-fa92dd5e7edc,0
[SFI-PS4.4] M365 Security Review,b1ad2227-887d-4f61-9409-3ba760c39005,0
[SFI-PS4.6] IC3 MTLS,d7c1e44c-70de-4b66-aade-3d3c1f08c34f,0
